"Role","Skills","Links"
"Data Analyst","SQL, Python, Tableau, PowerBI","https://example.com/data-analyst"
"Data Scientist","Python, sklearn, matplotlib, ML","https://example.com/data-scientist"
"Machine Learning Engineer","Python, TensorFlow, PyTorch, ML, sklearn","https://example.com/ml-engineer"
"Business Intelligence Analyst","SQL, PowerBI, Tableau, Excel","https://example.com/bi-analyst"
"Data Engineer","Python, SQL, Spark, Airflow, Snowflake","https://example.com/data-engineer"
"AI Engineer","Python, ML, Deep Learning, TensorFlow, NLP","https://example.com/ai-engineer"
"Statistician","R, Python, Statistics, SPSS, Excel","https://example.com/statistician"
"Data Architect","SQL, Data Modeling, ETL, Snowflake","https://example.com/data-architect"
"Big Data Engineer","Hadoop, Spark, Scala, Python, Kafka","https://example.com/big-data-engineer"
"Database Administrator","SQL, Oracle, MySQL, Database Tuning","https://example.com/db-admin"
"Software Developer","Java, Python, Git, REST APIs, SQL","https://example.com/software-developer"
"Frontend Developer","HTML, CSS, JavaScript, React, Figma","https://example.com/frontend-developer"
"Backend Developer","Node.js, Python, SQL, Docker, REST APIs","https://example.com/backend-developer"
"DevOps Engineer","Docker, Kubernetes, CI/CD, AWS, Python","https://example.com/devops-engineer"
"Mobile App Developer","Java, Kotlin, Swift, React Native, Git","https://example.com/mobile-app-developer"
